"nombre","ALCALA","ANDALUCIA","ANSERMANUEVO","ARGELIA","BOLIVAR","BUENAVENTURA","BUGA","BUGALAGRANDE","CAICEDONIA","CALI","CALIMA (DARIEN)","CANDELARIA","CARTAGO","DAGUA","EL AGUILA","EL CAIRO","EL CERRITO","EL DOVIO","FLORIDA","GINEBRA","GUACARI","JAMUNDI","LA CUMBRE","LA UNION","LA VICTORIA","OBANDO","PALMIRA","PRADERA","RESTREPO","RIOFRIO","ROLDANILLO","SAN PEDRO","SEVILLA","TORO","TRUJILLO","TULUA","ULLOA","VERSALLES","VIJES","YOTOCO","YUMBO","ZARZAL"
"FANNY MORENO ROJAS",2,7,9,2,1,59,31,22,5,1671,8,81,350,3,1,0,70,0,63,7,31,56,4,3,2,2,191,60,1,21,3,7,16,0,4,84,0,1,5,4,133,7
"ARMANDO ESCOBAR POTES",2,19,17,2,2,96,30,14,6,1044,12,36,74,7,4,2,17,7,23,6,10,24,4,3,4,2,187,16,3,13,4,2,16,4,9,59,3,3,2,4,43,10
"HENRY CALVO",1,5,3,0,4,8,16,12,1,230,6,38,10,2,0,0,7,5,5,0,1,6,2,2,2,0,50,4,0,268,1,0,5,3,21,67,0,1,1,0,16,1
"LUIS CARLOS OCHOA",1,3,3,4,2,14,16,1,2,261,1,13,11,12,2,5,6,0,7,1,17,6,2,8,4,2,34,1,0,3,5,0,12,12,1,26,1,1,1,1,5,11
"RAFAEL ANCHICO VALENCIA",1,4,0,0,1,34,15,1,1,285,2,10,14,2,0,0,5,0,9,1,0,10,0,2,0,0,35,7,1,1,1,3,2,0,1,20,0,0,1,1,10,2
"ADOLFO LEON TIGREROS DOMINGUEZ",1,5,324,0,1,70,26,10,2,748,2,82,73,3,2,1,37,2,105,7,12,33,2,2,3,1,143,32,1,1,3,2,7,3,2,55,1,1,2,2,19,10
"JOSE ARCELIO CIFUENTES RODRIGUEZ",1,17,2,0,0,140,34,8,1,519,2,185,16,6,1,0,447,1,155,15,146,31,0,2,1,0,446,217,0,2,1,20,8,2,3,340,0,1,1,5,23,4
"MARIA FERNANDA UMAÃA SEPULVEDA",0,2,4,1,1,31,18,2,4,224,0,23,12,1,1,0,7,0,8,1,2,10,0,2,2,0,36,9,0,1,2,6,3,1,0,30,0,0,1,0,16,3
"OLGA ISABEL TORO BARBERY",0,0,3,0,0,29,20,6,3,288,1,8,37,2,0,2,2,0,12,2,5,17,0,2,0,2,39,5,1,1,6,5,0,2,3,75,1,5,0,0,8,6
"MARTHA CECILIA CASAFUZ GRISALES",0,0,3,0,0,7,6,0,0,116,0,8,13,2,0,0,4,0,4,2,17,5,0,1,0,0,17,8,0,2,1,0,0,0,1,21,0,0,0,1,13,3
"PARTIDO UNION PATRIOTICA ""UP""",9,25,14,4,9,106,118,18,32,2625,15,103,144,19,2,4,90,1,86,21,20,181,14,33,8,15,431,46,9,9,23,10,94,11,5,178,2,3,6,11,221,24
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",9,25,14,4,9,106,118,18,32,2625,15,103,144,19,2,4,90,1,86,21,20,181,14,33,8,15,431,46,9,9,23,10,94,11,5,178,2,3,6,11,221,24
"OMAR ROMERO DIAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FABIOLA DEL SOCORRO MONTAÃO GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUILLERMO RESTREPO SIERRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
