"nombre","ACHI","ALTOS DEL ROSARIO","ARENAL","ARJONA","ARROYO HONDO","BARRANCO DE LOBA","CALAMAR","CANTAGALLO","CARTAGENA","CICUCO","CLEMENCIA","CORDOBA","EL CARMEN DE BOLIVAR","EL GUAMO","EL PEÃON","HATILLO DE LOBA","MAGANGUE","MAHATES","MARGARITA","MARIA LA BAJA","MOMPOS","MONTECRISTO","MORALES","NOROSI","PINILLOS","REGIDOR","RIOVIEJO","SAN CRISTOBAL","SAN ESTANISLAO","SAN FERNANDO","SAN JACINTO","SAN JACINTO DEL CAUCA","SAN JUAN NEPOMUCENO","SAN MARTIN DE LOBA","SAN PABLO","SANTA CATALINA","SANTA ROSA","SANTA ROSA DEL SUR","SIMITI","SOPLAVIENTO","TALAIGUA NUEVO","TIQUISIO (PTO. RICO)","TURBACO","TURBANA","VILLANUEVA","ZAMBRANO"
"ELIAS RAAD HERNANDEZ",1053,99,36,317,5,458,462,59,6936,68,85,54,1292,54,13,164,1887,64,33,305,136,151,120,247,51,495,96,510,131,12,433,18,435,924,252,250,138,40,47,211,47,104,325,84,38,64
"ALONSO JOSE DEL RIO CABARCAS",720,376,21,1247,714,660,562,109,9644,205,1063,123,2856,431,75,1322,1388,655,484,554,699,194,206,37,1396,242,582,326,311,91,2257,91,2810,430,253,652,231,529,152,403,355,108,421,385,415,135
"MARTA CECILIA CURI OSORIO",530,302,798,1981,182,124,1980,101,14921,755,626,136,1258,494,44,97,1262,637,863,551,4569,130,148,211,2441,222,671,161,1157,1067,796,60,2579,307,1297,909,461,510,659,1611,1396,1727,840,652,816,27
"SERGIO ALFONSO LONDONO ZUREK",39,22,7,90,6,29,64,9,1822,68,93,15,155,11,4,91,268,28,13,151,62,11,9,16,60,16,12,33,16,23,129,5,158,26,35,109,29,72,35,25,20,83,53,29,25,6
"CARLOS ALBERTO SCHMALBACH SILVA",17,8,3,53,5,14,23,2,906,3,40,3,193,15,1,6,80,22,4,23,25,7,12,9,29,5,11,10,16,1,42,1,39,8,24,17,35,13,16,26,8,25,37,20,29,12
"WENDY PATRICIA HERRERA REYES",13,10,2,39,11,21,13,4,832,14,11,1,97,20,2,5,48,9,3,34,21,2,8,3,28,6,7,15,21,3,24,3,31,4,18,10,14,4,6,19,16,20,73,13,26,4
"PARTIDO LIBERAL COLOMBIANO",1130,673,31,3639,399,1118,354,1117,27368,1329,939,2210,3906,180,265,1208,10806,1433,620,2670,2060,767,843,216,708,265,97,1107,1143,307,1525,1629,730,658,1099,1327,1031,437,664,465,1013,722,9640,1746,570,390
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",187,29,0,351,59,81,55,137,2842,110,67,91,425,9,36,19,542,181,9,310,162,175,78,6,24,31,13,19,64,50,157,150,86,40,137,86,150,42,40,29,57,11,461,95,89,26
"SILVIO JOSE CARRASQUILLA TORRES",477,33,16,2355,44,138,70,35,7416,69,101,195,2245,41,7,291,323,628,15,625,133,25,59,5,107,6,18,38,546,4,445,257,245,10,106,40,562,38,189,32,115,3,8186,410,193,12
"ELSI SAMPAYO BENAVIDES",218,279,0,113,5,596,57,252,6140,433,93,1423,156,113,60,798,4803,197,36,1266,204,300,10,188,101,47,15,254,149,20,655,204,102,487,427,308,51,32,124,33,163,625,157,672,87,210
"ORLANDO ENRIQUE BUELVAS ROMERO",143,319,6,467,265,271,82,359,6456,197,146,407,490,8,92,83,982,368,286,292,1075,77,608,12,363,126,44,230,281,65,69,511,231,93,129,827,177,290,234,329,229,38,261,428,123,24
"YHONY JOSE HERNANDEZ AGUAS",84,5,3,216,4,20,72,293,1686,496,508,49,301,0,70,13,3932,26,269,104,464,178,11,2,90,46,3,542,70,166,157,479,35,15,278,41,55,23,60,23,364,35,242,74,16,107
"EDGAR ARRIETA CARABALLO",14,3,4,71,2,8,12,23,1282,17,16,18,83,3,0,3,152,22,2,41,15,3,21,1,20,9,2,14,21,2,25,14,22,3,10,16,14,6,11,6,13,8,201,44,54,6
"EGLA YELITZA THERAN HUMANEZ",7,5,2,66,20,4,6,18,1546,7,8,27,206,6,0,1,72,11,3,32,7,9,56,2,3,0,2,10,12,0,17,14,9,10,12,9,22,6,6,13,72,2,132,23,8,5
"PARTIDO CONSERVADOR COLOMBIANO",600,206,578,3702,184,807,727,99,42338,236,299,1163,3354,219,1097,188,5120,1991,46,1854,717,331,893,120,492,195,237,343,720,58,1716,603,1361,913,283,817,1219,269,1294,498,347,155,5329,1786,1131,483
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",70,13,40,434,26,76,86,40,4221,21,30,53,282,6,103,5,374,190,4,240,115,31,54,21,17,7,24,9,60,16,104,48,114,61,36,59,160,34,114,48,32,8,359,101,138,63
"PEDRITO TOMAS PEREIRA CABALLERO",261,139,40,1192,26,75,401,16,16597,22,52,78,463,16,942,120,906,723,6,391,225,219,75,75,98,16,157,59,158,12,304,28,789,84,18,106,278,27,132,112,7,8,609,278,204,120
"SANDRA ELENA GARCIA TIRADO",224,22,407,1362,6,534,104,13,11191,138,125,743,633,17,15,25,2160,651,20,856,209,21,397,11,125,35,28,124,200,6,1057,429,143,699,94,544,340,55,870,237,153,122,278,543,146,234
"ABRAHAM FARUK SABAGH TORRES",29,9,46,131,32,19,74,7,4206,29,36,75,1439,152,21,2,1171,91,5,97,138,38,27,9,40,9,6,23,160,22,55,90,120,7,14,30,77,29,63,61,141,10,88,72,176,23
"MODESTO ANDRES DE LA CRUZ CARRASQUILLA",10,6,6,494,89,80,47,4,4067,4,19,29,412,24,2,23,298,293,9,175,6,1,11,0,201,123,18,121,131,2,146,7,159,8,44,59,309,6,5,23,8,0,3866,719,426,19
"ENEIDA LUZ RAMIREZ CENTENO",5,11,3,45,3,17,6,12,1235,11,20,162,61,3,10,9,153,19,2,44,15,6,4,3,1,3,2,7,5,0,26,1,15,47,8,13,19,61,57,11,4,3,36,42,20,14
"LOHER DIAZ DIAZ",1,6,36,44,2,6,9,7,821,11,17,23,64,1,4,4,58,24,0,51,9,15,325,1,10,2,2,0,6,0,24,0,21,7,69,6,36,57,53,6,2,4,93,31,21,10
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",98,101,23,1116,39,255,171,142,25633,38,172,225,3322,54,74,72,1502,314,43,727,279,166,91,18,26,53,18,39,78,114,599,67,1118,79,364,129,636,2516,525,18,142,84,1102,314,259,52
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",37,9,2,340,14,73,40,25,7867,8,25,17,879,5,4,48,467,88,12,146,76,24,34,3,10,6,4,4,22,24,184,28,420,28,65,23,128,261,39,6,27,10,261,41,94,13
"LUIS GUILLERMO OTOYA GERDTS",32,14,12,577,16,63,40,69,12980,19,31,8,1410,36,6,17,564,129,18,300,143,121,29,11,9,40,6,14,29,78,288,33,543,28,89,50,84,84,44,5,107,37,384,84,87,28
"CARLOS MARCEL ESCOBAR PEREZ",12,73,6,97,1,66,55,4,1651,0,73,177,722,9,53,3,108,67,1,156,11,4,3,0,0,0,0,7,9,1,42,0,47,1,8,32,362,8,20,0,1,24,375,157,28,5
"CARMEN EMILIA ISAZA SUAREZ",9,2,0,33,3,8,9,11,964,1,10,4,95,1,0,2,157,9,0,33,12,2,5,0,0,3,0,1,2,3,16,3,30,17,11,2,20,7,9,2,1,5,22,6,10,1
"ANGEL DAVID VEGA MONTES",5,2,2,34,2,19,19,3,999,5,22,9,98,2,10,0,84,8,9,48,28,11,2,2,7,2,6,5,11,5,50,3,53,1,27,12,23,30,17,5,6,7,17,10,22,3
"JOSE MELECIO CENDALES MORENO",2,1,0,21,2,22,6,28,749,3,6,9,64,0,1,2,100,4,0,27,5,3,17,2,0,1,2,8,2,0,9,0,11,2,160,3,8,2116,392,0,0,1,8,7,6,1
"MIRLA BRIGITH AARON FREITE",1,0,1,14,1,4,2,2,423,2,5,1,54,1,0,0,22,9,3,17,4,1,1,0,0,1,0,0,3,3,10,0,14,2,4,7,11,10,4,0,0,0,35,9,12,1
