"dane","municipio","departamento","potencial","total","senado.nal","senado.ind","blancos","sin.marcar","nulos","abstencion","CAMBIO RADICAL","CDMFCG","CONSERVADORES","LA U","LIBERALES","MIRA","PDA","POC","VERDES","validos"
13268,"EL PEÃON","Bolívar",5444,3256,2917,6,6,118,215,40.191036002939," 305","  18"," 291"," 382"," 295","   1"," 119","1494","   6",2929
13300,"HATILLO DE LOBA","Bolívar",9550,5336,4718,9,7,242,367,44.1256544502618," 813"," 157"," 210","3017"," 332","   9","  68","  72","  33",4734
13430,"MAGANGUE","Bolívar",88524,48160,39175,382,476,3264,5339,45.5966743481994,"5336","1980","9587","7991","5541"," 310"," 665","6210","1079",40033
13433,"MAHATES","Bolívar",18539,10215,8737,46,39,623,809,44.8999406656238,"2693"," 288","1690","1352","1995","  16"," 139"," 472","  53",8822
13440,"MARGARITA","Bolívar",8395,3816,3272,12,16,133,399,54.5443716497915," 487","  26"," 114","1540"," 117","   3","  55"," 893","  21",3300
13442,"MARIA LA BAJA","Bolívar",35731,16157,12661,81,86,1520,1895,54.7815622288769,"1928"," 697","1919","3269","2259","  56"," 278","2033"," 136",12828
13468,"MOMPOS","Bolívar",33471,17515,15317,43,122,664,1491,47.6711182814974,"2635"," 349","2010","7345"," 561","  20"," 249","1897"," 129",15482
13458,"MONTECRISTO","Bolívar",8381,4294,3637,9,13,265,383,48.7650638348646,"1005","  44"," 585"," 506"," 267","  27","  34","1144","  12",3659
13473,"MORALES","Bolívar",10308,5256,4397,26,27,340,493,49.0104772991851,"1802"," 145"," 781"," 877"," 516","  15","  47"," 152","  35",4450
13490,"NOROSI","Bolívar",3550,1650,1360,13,16,133,144,53.5211267605634," 66"," 31","215","864"," 55","  1"," 12"," 62"," 38",1389
13549,"PINILLOS","Bolívar",15618,8149,7209,2,16,357,581,47.8230247150723," 811","  24","1287","4560"," 173","   2","  47"," 253","  36",7227
13580,"REGIDOR","Bolívar",4189,2584,2237,9,29,125,213,38.3146335640964,"451"," 22","433","639","569","  0"," 13"," 65"," 16",2275
13600,"RIOVIEJO","Bolívar",5710,3558,3122,4,13,120,312,37.6882661996497," 201","  38"," 125","1858"," 585","   2","  22","  13"," 265",3139
13620,"SAN CRISTOBAL","Bolívar",5974,3724,3457,10,14,88,169,37.6632072313358," 149","  14"," 488","1246"," 983","   0","  26"," 462","  75",3481
13647,"SAN ESTANISLAO","Bolívar",13424,7586,6425,16,36,429,716,43.4892729439809,"1533","  89","1010","1472"," 926","  10","  71","1193","  85",6477
13650,"SAN FERNANDO","Bolívar",7813,4256,3689,4,9,151,412,45.5266862920773," 355","  29"," 506","1131","  74","   0","  66","1503","  16",3702
13654,"SAN JACINTO","Bolívar",19010,12191,10791,20,50,701,679,35.8705944239874,"1225","1015"," 605","4640","2803","  15"," 194"," 124"," 120",10861
13655,"SAN JACINTO DEL CAUCA","Bolívar",6548,3751,3132,6,5,268,345,42.7153329260843," 662","  74"," 385"," 481","1316","   0","  29"," 171","   9",3143
13657,"SAN JUAN NEPOMUCENO","Bolívar",28960,16226,13766,69,131,1048,1343,43.9709944751381,"1850","1625","1585","6710","1364","  11"," 189"," 191"," 110",13966
13667,"SAN MARTIN DE LOBA","Bolívar",10335,5321,4515,9,13,342,455,48.514755684567,"1007"," 102"," 550","1224"," 412","   7"," 141","1018","  41",4537
13670,"SAN PABLO","Bolívar",16204,8632,6916,49,96,843,824,46.7292026660084,"1488"," 272"," 260","1290"," 899","   9"," 207","2313","  82",7061
13673,"SANTA CATALINA","Bolívar",11050,6102,4951,13,29,551,587,44.7782805429864," 624","  79"," 820","2304"," 877","   9","  72","  89","  48",4993
13683,"SANTA ROSA","Bolívar",12178,7590,5625,32,46,762,1171,37.6744949909673,"1200"," 200","1125","1485"," 635","  39","  81"," 739","  75",5703
13688,"SANTA ROSA DEL SUR","Bolívar",16638,7639,6309,52,259,591,687,54.0870296910686,"1016","1098"," 679","1020","1202","   6"," 681"," 289","  59",6620
13744,"SIMITI","Bolívar",11846,5465,4466,22,50,492,485,53.866283977714," 915"," 199","1446"," 804"," 638","   2"," 137"," 215","  60",4538
13760,"SOPLAVIENTO","Bolívar",7676,3841,3286,11,16,263,281,49.960917144346," 709","   9"," 504","1522"," 343","   1","  53"," 103","  26",3313
13780,"TALAIGUA NUEVO","Bolívar",8601,4829,4289,9,21,154,377,43.8553656551564," 467","  62"," 433","1698"," 988","   1","  44"," 553","  22",4319
13810,"TIQUISIO (PTO. RICO)","Bolívar",11572,6441,5359,50,22,400,632,44.3397856895956,"1556","  62"," 165","2937","  75","   3","  34"," 416","  89",5431
13836,"TURBACO","Bolívar",54878,26642,21948,170,686,2304,2220,51.4523124020555,"3937","2444","3832","3147","5382"," 442"," 709","1072"," 297",22804
13838,"TURBANA","Bolívar",13356,7927,6488,40,109,657,742,40.6483977238694," 711"," 237","2310","1400","1198","  15","  98"," 303"," 107",6637
13873,"VILLANUEVA","Bolívar",14079,7855,6034,61,46,937,823,44.2076852049151,"1501"," 297","1006","1340"," 719","  12"," 135"," 894","  84",6141
13894,"ZAMBRANO","Bolívar",8505,5037,4061,30,32,413,533,40.7760141093474,"1029","  55","1338"," 273"," 159","   5","  49","1110","  11",4123
15022,"ALMEIDA","Boyacá",1870,800,616,4,20,101,79,57.2192513368984," 99","213"," 93"," 65"," 86","  2"," 20","  5"," 13",640
15047,"AQUITANIA (PUEBLOVIEJO)","Boyacá",12281,5337,4331,60,230,523,423,56.54262682192,"  73","1191","2134"," 179","  83","  43"," 107","  49"," 242",4621
15051,"ARCABUCO","Boyacá",4393,2033,1567,41,221,151,274,53.7218301843842,"352","217","276"," 91","159"," 18"," 53"," 54","126",1829
15087,"BELEN","Boyacá",6672,2976,2502,48,198,162,264,55.3956834532374," 66","267","595","255","689"," 23","246"," 56","107",2748
15090,"BERBEO","Boyacá",1465,621,486,16,70,76,43,57.6109215017065," 17"," 30","  9"," 41","181"," 15"," 15"," 10"," 98",572
15092,"BETEITIVA","Boyacá",1844,834,685,21,64,82,46,54.7722342733189," 44"," 52","180"," 65","187","  4"," 24"," 38"," 27",770
15097,"BOAVITA","Boyacá",5149,2574,2237,21,51,95,221,50.009710623422,"  35"," 103","1843","  30","  39","   4","  81","  11","  40",2309
15104,"BOYACA","Boyacá",3997,1533,1135,24,82,217,157,61.646234676007," 99"," 56","218","324","173"," 18"," 84"," 15"," 66",1241
15106,"BRICEÃO","Boyacá",1987,823,654,18,40,96,55,58.5807750377453,"  9","103","329"," 44"," 73","  1"," 13"," 21"," 21",712
15109,"BUENAVISTA","Boyacá",4453,2044,1639,15,34,196,194,54.0983606557377,"203"," 88","894","152","155","  8"," 29"," 35"," 41",1688
15114,"BUSBANZA","Boyacá",759,502,448,10,21,22,22,33.8603425559947,"  7"," 35","179","109"," 16","  3"," 11"," 53"," 14",479
15131,"CALDAS","Boyacá",3072,1354,1084,26,218,137,107,55.9244791666667," 51"," 79","263"," 44","319","  7"," 43"," 16"," 44",1328
15135,"CAMPOHERMOSO","Boyacá",2554,1138,921,19,51,130,68,55.4424432263117,"  7","340","308"," 65"," 75"," 10"," 21"," 22"," 22",991
15162,"CERINZA","Boyacá",3292,1644,1420,23,122,103,98,50.0607533414338," 61","117","478","431"," 40","  3"," 64","  9"," 95",1565
15172,"CHINAVITA","Boyacá",3121,1386,1049,74,62,158,105,55.5911566805511," 48","265","397","140"," 39"," 11"," 55","  7"," 25",1185
15176,"CHIQUINQUIRA","Boyacá",38197,17179,13715,608,2246,954,1902,55.02526376417,"1540","2407","2173","1030","1700"," 380"," 824"," 489"," 926",16569
15232,"CHIQUIZA","Boyacá",4295,2393,1880,30,102,286,197,44.2840512223516," 37"," 20","301","592","673","  3"," 81"," 15"," 56",2012
15180,"CHISCAS","Boyacá",3583,1559,1323,6,21,99,131,56.4889757186715,"105","308"," 15"," 23","490","  2"," 39"," 36","284",1350
15183,"CHITA","Boyacá",6498,2728,2070,27,103,535,96,58.0178516466605," 27","582","690","302"," 82","  3"," 41"," 35","205",2200
15185,"CHITARAQUE","Boyacá",5232,1879,1506,10,32,169,194,64.0863914373089," 38","184","151","229","108","  0"," 54","694"," 16",1548
15187,"CHIVATA","Boyacá",2527,1367,1118,29,88,107,113,45.9042342698852," 49"," 40","435"," 43"," 41","  4","120"," 14","284",1235
15236,"CHIVOR","Boyacá",1778,637,496,17,38,73,51,64.1732283464567," 56"," 81","212"," 15"," 17","  6"," 14","  6"," 51",551
15189,"CIENEGA","Boyacá",3758,1598,1272,41,168,179,106,57.47738158595,"196","243","401"," 69"," 71"," 10"," 33"," 10"," 71",1481
15204,"COMBITA","Boyacá",8250,3798,2974,81,294,236,507,53.9636363636364,"455","177","572","349","627"," 19","156"," 83","242",3349
15212,"COPER","Boyacá",3266,1366,1157,19,109,131,59,58.1751377832211," 74","102","367"," 78","297","  0"," 14"," 91"," 25",1285
15215,"CORRALES","Boyacá",2159,1174,1020,24,151,74,56,45.6229735988884," 29"," 96","518"," 52"," 75","  9"," 37","  6"," 47",1195
15218,"COVARACHIA","Boyacá",3172,1273,1026,13,10,143,91,59.8675914249685," 16","512","105"," 44"," 45","  3"," 22","107","162",1049
15223,"CUBARA","Boyacá",4542,1581,1117,108,53,166,190,65.1915455746367," 28","115","273"," 55","508","  7"," 10"," 32"," 36",1278
15224,"CUCAITA","Boyacá",2997,1606,1342,53,266,98,113,46.4130797464131," 30"," 37","422","268"," 83","  2","108"," 54"," 72",1661
15226,"CUITIVA","Boyacá",1890,985,842,13,52,51,79,47.8835978835979," 58","124","346"," 49","144","  3"," 30"," 15"," 21",907
15238,"DUITAMA","Boyacá",78773,37463,29664,1005,5605,1225,5569,52.4418265141609,"1806","5537","4745","2719","3029","1149","1947"," 813","2314",36274
15244,"EL COCUY","Boyacá",3724,1496,1202,18,129,159,117,59.828141783029," 55","409","265"," 37","197","  5"," 32","  3"," 70",1349
15248,"EL ESPINO","Boyacá",2246,1065,891,9,37,95,70,52.5823686553874," 69","486","194"," 24"," 31","  2"," 15"," 11"," 22",937
15272,"FIRAVITOBA","Boyacá",5530,2315,1932,39,210,172,172,58.1374321880651," 55","112","955","130","253"," 22"," 84"," 19"," 92",2181
15276,"FLORESTA","Boyacá",3011,1643,1391,21,76,142,89,45.4334108269678," 45","378","433"," 55","196","  2"," 20","  9","177",1488
15293,"GACHANTIVA","Boyacá",2766,1380,1119,18,54,176,67,50.1084598698482,"128"," 74","359"," 64"," 94","  8"," 25","114","199",1191
15296,"GAMEZA","Boyacá",4086,1774,1419,27,124,162,166,56.5834557023984," 48","183","751"," 62","116"," 10"," 78","  9"," 38",1570
15299,"GARAGOA","Boyacá",11507,5259,4288,93,447,392,486,54.2973842009212," 145"," 762","1376"," 491"," 299"," 271"," 265"," 169","  63",4828
15317,"GUACAMAYAS","Boyacá",1655,869,817,6,14,35,11,47.4924471299094,"  8","634"," 87","  7","  3","  4","  8","  2"," 50",837
15322,"GUATEQUE","Boyacá",8813,3592,2950,60,330,256,326,59.2420288210598,"180","287","436","404","808"," 92","136"," 35","242",3340
15325,"GUAYATA","Boyacá",3889,1674,1358,23,64,227,66,56.9555155566984," 30","103","948"," 45"," 70","  8"," 29"," 25"," 36",1445
15332,"GUICAN","Boyacá",2995,1353,1054,49,96,118,132,54.8247078464107," 22","641","136"," 27"," 16","  6"," 16","  4"," 90",1199
15362,"IZA","Boyacá",2104,906,760,17,78,58,71,56.9391634980989," 18","186","223"," 45"," 85","  9"," 48","  8"," 60",855
15367,"JENESANO","Boyacá",5269,2006,1476,48,117,271,211,61.9282596318087," 67","104","289","294","406"," 26"," 58"," 23"," 92",1641
15368,"JERICO","Boyacá",3112,1422,1073,15,50,272,62,54.305912596401," 28","267","382"," 69"," 42","  6"," 23","103","103",1138
15380,"LA CAPILLA","Boyacá",2565,1078,831,18,72,145,84,57.9727095516569,"  9"," 86","371","184"," 17"," 36"," 22","  4"," 30",921
15403,"LA UVITA","Boyacá",2517,1117,954,6,58,68,89,55.621771950735," 36","210","333"," 26"," 78","  1","  9","  6","197",1018
15401,"LA VICTORIA","Boyacá",1481,613,461,7,10,66,79,58.6090479405807,"  3"," 22"," 26","258"," 88","  0","  5"," 19"," 30",478
15377,"LABRANZAGRANDE","Boyacá",2662,1224,850,10,18,317,47,54.0195341848234,"  7","447","167"," 58"," 85","  4"," 17","  7"," 40",878
15425,"MACANAL","Boyacá",3544,1544,1193,21,89,182,148,56.4334085778781,"339","250","263","124"," 28"," 25"," 40","  5"," 30",1303
15442,"MARIPI","Boyacá",6719,2658,2281,13,37,217,147,60.4405417472838,"  51","  85"," 412"," 124","1222"," 171","  71","  21","  87",2331
15455,"MIRAFLORES","Boyacá",7544,3850,3015,104,471,414,317,48.966065747614,"192","296","152","443","641"," 77","115"," 48","580",3590
15464,"MONGUA","Boyacá",3832,1778,1468,27,78,115,168,53.6012526096033," 23","422","591"," 77","121","  4"," 63"," 47"," 42",1573
15466,"MONGUI","Boyacá",3410,1590,1345,29,111,83,133,53.3724340175953," 40","209","290","121","108"," 13","144"," 21","288",1485
15469,"MONIQUIRA","Boyacá",16649,7930,6353,79,436,683,815,52.3695116823833," 155"," 754","1062","1079"," 334","  78"," 233","1640"," 582",6868
15476,"MOTAVITA","Boyacá",4586,2533,1968,50,191,189,326,44.7666812036633,"106"," 83","276","414","488","  8","217"," 29","156",2209
15480,"MUZO","Boyacá",6960,3056,2399,34,98,380,243,56.0919540229885,"  58"," 509","1263"," 178","  84","  28","  60","  36","  85",2531
15491,"NOBSA","Boyacá",10860,5919,4685,201,873,313,720,45.4972375690608,"283","395","746","465","805"," 82","370"," 94","572",5759
15494,"NUEVO COLON","Boyacá",4435,1857,1383,60,208,209,205,58.1285231116122,"173","104","411","106","192"," 59"," 52"," 11"," 67",1651
15500,"OICATA","Boyacá",2287,1117,931,21,88,69,96,51.1587232181898," 32"," 86","321","116"," 86","  7"," 81"," 11","103",1040
15507,"OTANCHE","Boyacá",6420,2829,2247,31,74,296,255,55.9345794392523," 83","627","502","454","127"," 42"," 47","237"," 54",2352
15511,"PACHAVITA","Boyacá",2007,1007,764,18,77,155,70,49.825610363727,"  8","308","181"," 34"," 13","  9"," 25"," 42"," 67",859
15514,"PAEZ","Boyacá",2284,1167,925,18,72,135,89,48.9054290718039," 42","324"," 44","190"," 57","  4","  8"," 46","138",1015
15516,"PAIPA","Boyacá",23383,11806,9845,211,1167,714,1036,49.5103280160801," 365","1017","2730"," 679","1330"," 251"," 539"," 188","1579",11223
15518,"PAJARITO","Boyacá",1614,710,584,4,6,77,45,56.0099132589839," 31","298"," 22"," 40"," 59","  0"," 20"," 11"," 97",594
15522,"PANQUEBA","Boyacá",1508,640,547,2,17,73,18,57.5596816976127," 11","341"," 82"," 25"," 28","  3"," 19","  1"," 20",566
15531,"PAUNA","Boyacá",6763,3082,2365,47,186,433,237,54.4285080585539," 86","272","990","501"," 91"," 45"," 63"," 70"," 61",2598
15533,"PAYA","Boyacá",1288,610,517,5,6,75,13,52.639751552795," 21"," 67","321"," 22"," 24","  0"," 30","  1"," 25",528
15537,"PAZ DE RIO","Boyacá",4420,2050,1774,25,113,166,85,53.6199095022624,"158"," 76","279"," 89","280"," 11"," 83"," 48","637",1912
15542,"PESCA","Boyacá",6118,2713,2181,35,135,279,218,55.6554429552141,"  44"," 136","1448","  89","  86","   5","  56","  27"," 155",2351
15550,"PISBA","Boyacá",957,584,400,13,13,153,18,38.9759665621735," 11","115","135"," 21"," 84","  1"," 15","  0","  5",426
15572,"PUERTO BOYACA","Boyacá",31160,11906,8892,417,651,1200,1397,61.790757381258," 635","1746"," 879","1367","1480"," 314"," 337"," 413","1070",9960
15580,"QUIPAMA","Boyacá",4886,1999,1369,44,50,369,217,59.0871878837495," 24","473","366","253"," 57"," 12"," 44"," 24"," 66",1463
15599,"RAMIRIQUI","Boyacá",8416,3458,2915,70,319,187,286,58.9115969581749,"146","450","483","112","723"," 40","105","402","135",3304
15600,"RAQUIRA","Boyacá",4388,2183,1681,67,154,227,208,50.2506836827712,"183","293","354","162","208"," 27"," 69"," 32","199",1902
15621,"RONDON","Boyacá",2265,1054,874,19,43,93,68,53.4657836644592,"162","107","236","120","107","  2"," 11"," 14"," 72",936
15632,"SABOYA","Boyacá",9439,4465,3405,96,318,516,448,52.6962601970548,"177","845","893","242","434","115","115"," 37","229",3819
15638,"SACHICA","Boyacá",3068,1953,1535,30,88,258,130,36.3428943937419,"171"," 61","166","365","301"," 90"," 56"," 32","205",1653
15646,"SAMACA","Boyacá",12609,7178,5546,133,548,692,807,43.0724085970339," 454"," 266"," 473"," 746","2264","  51"," 188","  61"," 495",6227
15660,"SAN EDUARDO","Boyacá",1422,702,535,19,100,108,40,50.6329113924051," 19","106"," 51"," 87"," 54","  8"," 10"," 22"," 78",654
15664,"SAN JOSE DE PARE","Boyacá",5101,2183,1842,13,39,177,151,57.2044697118212," 29","102","186","239","125","  5"," 60","194","863",1894
15667,"SAN LUIS DE GACENO","Boyacá",4478,1918,1606,12,68,153,147,57.1683787405092,"201","463","232","405"," 88"," 13"," 42"," 14"," 80",1686
15673,"SAN MATEO","Boyacá",3699,1792,1510,15,33,189,78,51.5544741822114,"196","825","169"," 27"," 29","  5"," 12"," 48","166",1558
15676,"SAN MIGUEL DE SEMA","Boyacá",2728,961,730,20,92,80,131,64.7727272727273," 35"," 97","207"," 28","190"," 10"," 22","  4"," 45",842
15681,"SAN PABLO DE BORBUR","Boyacá",5876,2392,1905,26,43,251,210,59.2920353982301,"123","701","640","187"," 65"," 15"," 65"," 32"," 34",1974
15690,"SANTA MARIA","Boyacá",3402,1405,1043,43,100,150,169,58.7007642563198,"105","129","422","114"," 95","  6"," 28"," 16"," 28",1186
15693,"SANTA ROSA DE VITERBO","Boyacá",7681,4022,3271,95,421,326,330,47.6370264288504," 247"," 539","1036"," 185"," 226","  23","  98"," 174"," 322",3787
15696,"SANTA SOFIA","Boyacá",2970,1349,1063,20,83,160,106,54.5791245791246," 24"," 50","655"," 30"," 29","  1"," 26","145"," 20",1166
15686,"SANTANA","Boyacá",6366,3299,2903,12,50,139,245,48.1778196669808,"  99","  62"," 856"," 269","1080","   7","  44"," 374","  62",2965
15720,"SATIVANORTE","Boyacá",2374,1051,911,8,18,88,44,55.7287278854254," 30","123","231","374"," 28","  2"," 25"," 23"," 57",937
15723,"SATIVASUR","Boyacá",1212,630,562,2,17,35,31,48.019801980198," 16"," 20","235"," 28","193","  1","  6"," 31"," 15",581
15740,"SIACHOQUE","Boyacá",5995,3288,2498,68,193,343,379,45.1542952460384," 41","174","432","230"," 88"," 15","762","  9","554",2759
15753,"SOATA","Boyacá",7162,3798,3188,46,152,215,349,46.9701200781904,"124","792","799","848","173"," 10","138"," 25","127",3386
15757,"SOCHA","Boyacá",6117,2574,2100,50,212,193,231,57.9205492888671," 57","169","415"," 92","645"," 13","169","108","220",2362
15755,"SOCOTA","Boyacá",5910,2592,1961,73,111,324,234,56.1421319796954," 32","505","194","233","597","  9"," 74","116"," 90",2145
15759,"SOGAMOSO","Boyacá",84269,40479,32726,917,5495,1668,5168,51.9645421210647,"1410","4810","4495","2971","5999"," 910","2031","2289","2316",39138
15761,"SOMONDOCO","Boyacá",2837,1170,919,32,69,158,61,58.7592527317589," 92","152","299","100","102","  5"," 46"," 10"," 44",1020
15762,"SORA","Boyacá",2408,1467,1219,23,102,125,100,39.078073089701," 50"," 37","524","253"," 83","  2"," 95"," 19"," 54",1344
15764,"SORACA","Boyacá",5046,2590,2027,65,204,221,277,48.6722156163298,"101"," 95","296","245","225"," 20","447"," 46","348",2296
15763,"SOTAQUIRA","Boyacá",5156,2170,1791,42,174,141,196,57.9131109387122,"135","121","328","113","356","  8"," 68"," 93","395",2007
15774,"SUSACON","Boyacá",2571,1370,1225,4,9,56,85,46.7133411124076," 20"," 39","737","352"," 22","  1"," 14"," 15"," 16",1238
15776,"SUTAMARCHAN","Boyacá",4886,2632,2258,28,201,192,154,46.1318051575931,"745","245","588","145","141"," 16"," 83"," 22"," 72",2487
15778,"SUTATENZA","Boyacá",3546,1837,1520,21,72,179,117,48.195149464185," 35","115","678","394"," 77","  8"," 42"," 17"," 82",1613
15790,"TASCO","Boyacá",5008,1956,1698,19,74,133,106,60.9424920127796," 45","141","312","192","407","142"," 97"," 41","247",1791
15798,"TENZA","Boyacá",3490,1505,1102,20,122,227,156,56.8767908309456," 68","335","302"," 88"," 54"," 33"," 41"," 10"," 49",1244
15804,"TIBANA","Boyacá",7413,2887,2152,31,187,275,429,61.0549035478214,"  58","  72"," 117","1014"," 451","  52"," 105","  54","  42",2370
15806,"TIBASOSA","Boyacá",7563,4097,3301,94,402,289,413,45.8283749834722," 137"," 274","1607"," 197"," 274","  32"," 173","  59"," 146",3797
15808,"TINJACA","Boyacá",2484,1286,1129,18,118,73,66,48.2286634460548," 35","131","541"," 53","103","  5"," 40"," 43"," 60",1265
15810,"TIPACOQUE","Boyacá",3236,1610,1289,26,22,157,138,50.2472187886279,"158","107"," 96","417","259"," 15"," 53"," 68"," 94",1337
15814,"TOCA","Boyacá",6747,2882,2143,100,434,216,423,57.2847191344301," 54","236","200","638","251"," 12","140"," 15","163",2677
15816,"TOGUI","Boyacá",4192,1549,1147,20,74,194,188,63.0486641221374," 28"," 73","303"," 50","202","  4"," 51","341"," 21",1241
15820,"TOPAGA","Boyacá",2791,1542,1249,36,102,80,177,44.7509853099248," 30","220","571"," 92"," 62"," 24"," 65"," 32"," 51",1387
15822,"TOTA","Boyacá",3886,1867,1330,37,51,297,203,51.9557385486361,"184","116","593"," 72","189","  1"," 48"," 19"," 57",1418
15001,"TUNJA","Boyacá",108171,54688,45732,1082,7971,1551,6323,49.4430115280436,"2852","5630","7395","3152","5450"," 895","4157","1212","7018",54785
15832,"TUNUNGUA","Boyacá",1215,627,490,7,14,87,43,48.3950617283951," 23"," 17"," 60","177","130","  8","  9"," 31"," 21",511
15835,"TURMEQUE","Boyacá",5715,2052,1573,93,395,188,198,64.0944881889764," 29"," 56","101","364","319"," 86","165"," 14"," 44",2061
15837,"TUTA","Boyacá",6766,3520,2876,64,236,257,323,47.9751699674845,"287","183","836","129","750"," 32","166"," 23","234",3176
15839,"TUTAZA","Boyacá",1751,988,779,12,35,71,126,43.5750999428898," 28"," 54","149"," 88","146","  1","171"," 40"," 67",826
15842,"UMBITA","Boyacá",5870,2898,2207,114,466,263,314,50.6303236797274," 71","258","895","125"," 35"," 21"," 87"," 18","231",2787
15861,"VENTAQUEMADA","Boyacá",10502,4323,3290,126,524,321,586,58.8364121119787," 80","163","764","330","868"," 13","205"," 27","316",3940
15407,"VILLA DE LEIVA","Boyacá",9348,4930,3941,116,466,253,620,47.2614462986735,"288","827","513","472","638"," 40","254","158","285",4523
15879,"VIRACACHA","Boyacá",2598,1030,800,25,86,135,70,60.3541185527329,"138"," 60","234"," 42","110","  8"," 86","  7"," 29",911
15897,"ZETAQUIRA","Boyacá",3757,1777,1323,37,114,299,118,52.7016236358797," 40","129","122","112","496"," 17"," 27"," 21","245",1474
17013,"AGUADAS","Caldas",18667,9599,7724,82,198,1003,790,48.577703969572," 104","2207","1895","1794"," 913"," 280"," 242","  58","  33",8004
17042,"ANSERMA","Caldas",27225,14462,11949,162,421,1234,1117,46.8797061524334," 104","3928","2425","2096","1634"," 790"," 354","  91"," 106",12532
17050,"ARANZAZU","Caldas",11382,5615,4642,67,126,482,424,50.6677209629239,"  54"," 713","2256","1153","  77","  86"," 122","  18","  37",4835
17088,"BELALCAZAR","Caldas",9997,4795,3951,47,123,343,454,52.035610683205,"  38"," 593"," 620","1922"," 430","  36"," 116","  47","  26",4121
17174,"CHINCHINA","Caldas",41554,19494,16081,271,830,1556,1586,53.0875487317707," 429","4240","2824","3223","2160","1021"," 641"," 440"," 273",17182
17272,"FILADELFIA","Caldas",9551,5169,4424,31,88,321,393,45.8800125641294,"  64"," 389"," 855"," 948","1915","  14"," 117","  12","  22",4543
17380,"LA DORADA","Caldas",56266,24865,20118,267,982,1479,3001,55.808125688693,"2732","5321"," 587","4103","4298","1021"," 675"," 240"," 159",21367
17388,"LA MERCED","Caldas",5622,3193,2828,15,31,195,155,43.2052650302384,"   7"," 179","1218"," 998"," 255","  38","  74","  16","  12",2874
17001,"MANIZALES","Caldas",311883,148965,120126,3115,11252,6907,18817,52.2368965285059," 4715","24123","24152","24907","11394"," 5882"," 8103"," 1705"," 3893",134493
17433,"MANZANARES","Caldas",15228,7054,5824,69,175,630,531,53.6774363015498,"  62","1248","1794","1699"," 267"," 140","  65"," 332","  42",6068
17442,"MARMATO","Caldas",6037,2626,1994,39,81,308,285,56.5015736292861," 31","135","125","696","453"," 14","424"," 16"," 19",2114
17444,"MARQUETALIA","Caldas",11222,5604,4728,33,65,549,294,50.0623774728212,"  32","2680"," 874"," 775"," 152","  21","  59","  51","  19",4826
17446,"MARULANDA","Caldas",2710,1299,1129,7,17,86,77,52.0664206642066," 17","228","631","183"," 27","  0","  7"," 13","  6",1153
17486,"NEIRA","Caldas",18748,9200,7312,127,313,806,955,50.9280989972264," 202"," 922","1135","3288"," 934"," 177"," 206","  66","  69",7752
17495,"NORCASIA","Caldas",5551,2897,2407,12,34,267,211,47.8112051882544,"  20"," 175"," 178","1001"," 883","  45","  25","  37","   9",2453
17513,"PACORA","Caldas",11955,6320,5106,54,131,533,627,47.1350899205353,"  82"," 756"," 630","1432","1724"," 222","  76","  32","  21",5291
17524,"PALESTINA","Caldas",15067,7343,6115,53,188,523,652,51.2643525585717,"  79"," 942"," 709","2693","1002"," 161"," 107"," 166","  68",6356
17541,"PENSILVANIA","Caldas",16955,8547,6881,52,151,1000,614,49.5900914184606,"  39","2757","1395","1914"," 371","  25"," 102","  84","  43",7084
17614,"RIOSUCIO","Caldas",36562,19529,13622,2525,611,1633,1749,46.5866199879656," 433","4166","1160","3810","1978"," 175"," 441"," 205"," 643",16758
17616,"RISARALDA","Caldas",10668,5292,4251,48,87,478,515,50.3937007874016,"  42"," 854"," 519","1413"," 869"," 233"," 200","  14","  20",4386
17653,"SALAMINA","Caldas",15429,7546,6282,48,202,691,525,51.0920992935381," 133","1433","2043"," 986","1053","  83"," 188","  98","  63",6532
17662,"SAMANA","Caldas",16108,9014,7501,67,152,727,719,44.0402284579091,"  79","1688"," 838","4447"," 144","  15","  76","  38","  24",7720
17665,"SAN JOSE","Caldas",4790,2777,2428,15,52,181,153,42.0250521920668,"  14"," 448","1171"," 227"," 363","  17","  49","  13","  74",2495
17777,"SUPIA","Caldas",20457,10520,7680,302,352,1347,1191,48.5750598817031," 112","2278","1223"," 715","1979"," 206"," 392"," 118"," 305",8334
17867,"VICTORIA","Caldas",8310,4423,3799,23,65,226,375,46.7749699157641,"  58"," 936"," 290","1840"," 520","  32","  31","  11","  16",3887
17873,"VILLAMARIA","Caldas",36258,19249,15761,301,1055,994,2193,46.9110265320757," 525","2725","2252","3723","2949","1157"," 617"," 458"," 300",17117
17877,"VITERBO","Caldas",12505,6041,5059,41,150,429,512,51.6913234706118,"  63","1566","1305","1482"," 150"," 113"," 106","  48","  76",5250
18029,"ALBANIA","Caquetá",3707,1827,1525,67,25,138,97,50.7148637712436,"116","291","379","254"," 78","202"," 52"," 21","107",1617
18094,"BELEN DE LOS ANDAQUIES","Caquetá",7213,3002,2409,86,82,276,231,58.3807015111604,"108","748","188","246","189","289","235"," 14","310",2577
18150,"CARTAGENA DEL CHAIRA","Caquetá",16621,3367,2278,91,186,609,389,79.7424944347512,"315","264","435","130","284","189","187"," 31","257",2555
18205,"CURILLO","Caquetá",7251,2233,1866,49,64,200,118,69.2042476899738,"112","555","316","290","136","219"," 76"," 27"," 71",1979
