"Nombre","Partido","Amazonas","Antioquia","Arauca","Atlántico","Bogotá","Bolívar","Boyacá","Caldas","Caquetá","Casanare","Cauca","Cesar","Chocó","Córdoba","Cundinamarca","Guainía","Guaviare","Huila","La Guajira","Magdalena","Meta","Nariño","Norte de Santander","Putumayo","Quindío","Risaralda","SanAndrés","Santander","Sucre","Tolima","Valle del Cauca","Vaupés","Vichada","Consulados"
"JOSE HUMBERTO VERGARA HENAO","CAMBIO RADICAL",2,468,1,47,59,24,3,7,3,1,2,2,31,4,16,1,1,1,4,7,1,1,2,0,0,6,2,19,4,5,27,0,0,0
"LUIS FERNANDO PARRA LEON","CAMBIO RADICAL",2,105,3,51,185,29,11,15,3,6,8,7,7,6,53,1,0,10,13,59,7,10,12,3,15,26,5,33,9,57,66,0,1,2
"GUSTAVO ADOLFO MATTOS PEREZ","CAMBIO RADICAL",2,49,2,48,162,23,44,4,2,3,7,11,7,4,41,0,0,10,3,14,4,9,5,0,8,10,0,20,7,10,35,1,0,10
"VICTOR MANUEL JAUREGUI BECERRA","CAMBIO RADICAL",2,80,2,48,147,45,13,15,5,4,12,12,6,10,103,1,1,5,7,20,9,14,36,1,19,19,1,32,22,27,50,2,4,4
"DARIO RICARDO CASTRO PORTILLA","CAMBIO RADICAL",2,72,1,54,86,43,17,1,2,3,6,13,2,6,100,1,1,1,14,16,5,31,5,3,12,11,1,26,8,16,41,0,1,0
"ELENA HERNANDEZ CRUZ","CAMBIO RADICAL",2,53,1,23,91,20,13,9,0,3,8,18,0,14,53,0,0,3,17,7,1,3,3,2,9,7,0,15,3,17,33,1,1,3
"LUIS FERNANDO DELGADO JIMENEZ","CAMBIO RADICAL",2,117,0,35,101,35,11,5,1,2,9,13,2,437,47,0,1,8,9,18,1,2,10,0,3,4,0,30,7,6,32,1,1,0
"CESAR RAUL AVILES","CAMBIO RADICAL",2,176,0,986,223,170,11,5,4,1,7,81,6,31,132,0,0,2,32,475,3,5,7,1,11,15,3,22,53,11,57,1,1,0
"MARTHA PATRICIA PEDREROS COLMENARES","CAMBIO RADICAL",2,39,0,19,50,38,2,7,2,2,3,4,4,18,45,0,0,1,3,15,1,3,1,1,7,7,1,8,1,11,26,1,0,2
"ALEJANDRINA CHACON AREVALO","CAMBIO RADICAL",2,42,2,29,73,20,12,2,0,7,7,7,0,12,54,0,0,2,3,20,3,2,2,1,7,9,0,10,0,10,31,0,0,0
"HENRY ALEXANDER CASTELLANOS ORJUELA","CAMBIO RADICAL",1,664,3,59,228,50,184,10,14,14,15,33,159,11,141,0,4,21,40,54,3,16,44,5,10,31,1,257,9,14,85,1,3,4
"JOSE LEOMAR CORTES DELGADO","CAMBIO RADICAL",1,33,0,25,48,1656,4,11,0,2,3,19,4,25,26,0,0,1,21,100,3,5,6,0,2,5,13,35,25,14,18,0,0,2
"MELIK SARKIS TORRES","CAMBIO RADICAL",1,25,2,111,29,168,7,4,0,1,6,22,7,2,8,0,1,3,1,72,7,2,26,0,4,13,0,29,20,16,24,1,0,2
"JAVIER ANDRES CORREDOR TORRES","CAMBIO RADICAL",1,129,1,46,249,48,25,5,4,8,13,15,4,5,94,2,0,9,25,34,3,13,32,1,13,32,1,44,7,19,66,0,2,9
"GUSTAVO VILLAMIZAR CORZO","CAMBIO RADICAL",1,121,8,79,322,61,35,13,2,4,8,12,11,5,99,1,0,7,10,39,16,93,59,0,217,432,1,47,9,119,231,0,1,2
"EDUIN HUMBERTO CORSO HERNANDEZ","CAMBIO RADICAL",1,88,2,50,180,33,15,5,1,6,10,50,3,7,87,0,0,10,12,20,5,6,5,0,6,16,1,30,2,28,43,1,1,1
"CARLOS ANIBAL LOZANO LOZANO","CAMBIO RADICAL",1,823,4,89,783,83,87,21,8,10,50,13,692,16,139,2,11,10,11,73,21,84,11,1,22,38,10,56,504,79,1027,0,3,9
"JOSE ANDRES AREIZA PADILLA","CAMBIO RADICAL",1,154,2,37,284,38,33,13,0,4,16,3,5,10,66,1,0,7,2,19,8,8,5,0,17,32,1,63,6,19,69,0,0,3
"SONIA MARCELA LAVADO BARON","CAMBIO RADICAL",1,33,0,16,204,21,14,13,1,3,3,3,5,3,34,0,0,0,1,8,3,3,3,1,5,7,2,12,0,16,23,0,1,0
